Timestamp,Are you:,What is your major?,Age,Gender,What is the highest level of education your parents/guardians have completed? ,How many books do you or your family have at home?,"How comfortable are you in reading, understanding, and communicating in English?",Do you work?,Do you live:,What was your GPA in high-school? ,"On average, how many hours of sleep do you get each night?",How motivated are you to improve your critical thinking skills?,Do you consider yourself a better critical thinker than at the start of the semester?,Have you used tutoring services for your CRT course? ,"Consider the statement: 
""Vaccinations should be mandatory because they prevent serious diseases."" 
What is the main claim?","In the previous question statement, what is used as support for the claim?","A project your team is working on is over budget. 
What could be a potential first step to address this problem?","Continue thinking about the scenario from the previous question. 
Let's say that you you decided to analyze the budget. You found some unnecessary expenses. 
What could be your next step?","Consider the claim: 
""Regular physical activity reduces the risk of chronic diseases."" 
Which of the following would be the strongest evidence for this claim?","Continue thinking about the scenario from the previous question.

Based on your selected answer about the best evidence, how strongly does it support the claim (0-weak, 2-strong)?","Consider the argument: 
""Strawberries are fruits. All fruits grow on trees. Therefore, strawberries grow on trees."" 
What is the mistake in this argument?","If an argument says: 
""If it's hot, then people swim. It's cold. Therefore, people don't swim.""  
Is the logic of this argument valid or not?","Considering the statement: 
""Online learning is more effective than traditional classroom learning."" 
Which of the following perspectives may disagree?","Consider the topic of implementing stricter gun control laws.
Which perspective might oppose stricter regulations?","Consider the problem: 
""A coffee and a muffin cost $6 in total. The coffee costs $5 more than the muffin. How much does the muffin cost?"" 
What's your answer?"
11/27/2023 11:52:09,Sophomore,Computer Science,22,Male,College degree.,Less than 5,Fairly comfortable.,"Yes, part-time.",With parents,2.7,,,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/27/2023 12:16:56,Sophomore,Psychology ,19,Female,High-school degree.,Between 20 and 50,Comfortable enough to understand most things.,"Yes, part-time.",With parents,2.7,Between 4 and 6,Fairly motivated.,No,No,Vaccinations prevent serious diseases.,Serious diseases are a problem.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/27/2023 13:52:36,Freshman,9-14 program,16,Female,High-school degree.,Between 5 and 20,Comfortable enough to understand most things.,No,With parents,4,8 or more,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,1,It is not supported by logic,Yes,"A student who learns better in interactive, social environments., A parent who sees their child thriving in online classes.",A citizen concerned about personal safety and self-defense.,$1.00
11/27/2023 18:06:55,Freshman,Computer Science,18,Male,High-school degree.,Between 20 and 50,Absolutely comfortable.,No,With parents,2,Between 6 and 8,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
11/27/2023 20:04:56,Sophomore,Ethnic and Race Studies,28,Female,Did not complete high school.,More than 50,Absolutely comfortable.,"Yes, full time.",By yourself,3,Between 4 and 6,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,1,Both,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/28/2023 11:43:54,Sophomore,Criminal Justice,26,Female,Did not complete high school.,More than 50,Absolutely comfortable.,"Yes, full time.",By yourself,3.3,Between 6 and 8,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/28/2023 16:10:49,Sophomore,Video Arts and Technology,18,Male,College degree.,More than 50,Fairly comfortable.,No,With parents,2.7,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/28/2023 16:37:47,Freshman,Business Administration and Management,27,Female,High-school degree.,Between 20 and 50,Absolutely comfortable.,No,By yourself,2.3,Between 4 and 6,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/28/2023 18:44:42,Sophomore,Liberal Arts,40,Female,High-school degree.,More than 50,Absolutely comfortable.,"Yes, full time.",By yourself,3.7,Between 4 and 6,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
11/28/2023 18:48:56,Sophomore,Sociology,20,Female,Did not complete high school.,Between 20 and 50,Fairly comfortable.,"Yes, part-time.",With parents,3.3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
